2024-10-11 05:52:48 [http-nio-0.0.0.0-8080-exec-10] WARN  o.t.s.p.AbstractStandardFragmentInsertionTagProcessor - [THYMELEAF][http-nio-0.0.0.0-8080-exec-10][view-client] Deprecated unwrapped fragment expression "header :: header" found in template view-client, line 5, col 15. Please use the complete syntax of fragment expressions instead ("~{header :: header}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2024-10-11 05:52:54 [http-nio-0.0.0.0-8080-exec-2] WARN  o.t.s.p.StandardIncludeTagProcessor - [THYMELEAF][http-nio-0.0.0.0-8080-exec-2][edit-client] Deprecated attribute {th:include,data-th-include} found in template edit-client, line 5, col 13. Please use {th:insert,data-th-insert} instead, this deprecated attribute will be removed in future versions of Thymeleaf.
2024-10-11 05:52:54 [http-nio-0.0.0.0-8080-exec-2] WARN  o.t.s.p.AbstractStandardFragmentInsertionTagProcessor - [THYMELEAF][http-nio-0.0.0.0-8080-exec-2][edit-client] Deprecated unwrapped fragment expression "header :: header" found in template edit-client, line 5, col 13. Please use the complete syntax of fragment expressions instead ("~{header :: header}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2024-10-11 05:52:55 [http-nio-0.0.0.0-8080-exec-4] WARN  o.t.s.p.StandardIncludeTagProcessor - [THYMELEAF][http-nio-0.0.0.0-8080-exec-4][edit-client-images] Deprecated attribute {th:include,data-th-include} found in template edit-client-images, line 7, col 13. Please use {th:insert,data-th-insert} instead, this deprecated attribute will be removed in future versions of Thymeleaf.
2024-10-11 05:52:55 [http-nio-0.0.0.0-8080-exec-4] WARN  o.t.s.p.AbstractStandardFragmentInsertionTagProcessor - [THYMELEAF][http-nio-0.0.0.0-8080-exec-4][edit-client-images] Deprecated unwrapped fragment expression "header :: header" found in template edit-client-images, line 7, col 13. Please use the complete syntax of fragment expressions instead ("~{header :: header}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2024-10-11 05:53:03 [http-nio-0.0.0.0-8080-exec-7] WARN  o.t.s.p.StandardIncludeTagProcessor - [THYMELEAF][http-nio-0.0.0.0-8080-exec-7][edit-client-images] Deprecated attribute {th:include,data-th-include} found in template edit-client-images, line 7, col 13. Please use {th:insert,data-th-insert} instead, this deprecated attribute will be removed in future versions of Thymeleaf.
2024-10-11 05:53:03 [http-nio-0.0.0.0-8080-exec-7] WARN  o.t.s.p.AbstractStandardFragmentInsertionTagProcessor - [THYMELEAF][http-nio-0.0.0.0-8080-exec-7][edit-client-images] Deprecated unwrapped fragment expression "header :: header" found in template edit-client-images, line 7, col 13. Please use the complete syntax of fragment expressions instead ("~{header :: header}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2024-10-11 05:53:05 [http-nio-0.0.0.0-8080-exec-1] WARN  o.t.s.p.StandardIncludeTagProcessor - [THYMELEAF][http-nio-0.0.0.0-8080-exec-1][edit-client-images] Deprecated attribute {th:include,data-th-include} found in template edit-client-images, line 7, col 13. Please use {th:insert,data-th-insert} instead, this deprecated attribute will be removed in future versions of Thymeleaf.
2024-10-11 05:53:05 [http-nio-0.0.0.0-8080-exec-1] WARN  o.t.s.p.AbstractStandardFragmentInsertionTagProcessor - [THYMELEAF][http-nio-0.0.0.0-8080-exec-1][edit-client-images] Deprecated unwrapped fragment expression "header :: header" found in template edit-client-images, line 7, col 13. Please use the complete syntax of fragment expressions instead ("~{header :: header}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2024-10-11 05:53:06 [http-nio-0.0.0.0-8080-exec-3] WARN  o.t.s.p.StandardIncludeTagProcessor - [THYMELEAF][http-nio-0.0.0.0-8080-exec-3][edit-client] Deprecated attribute {th:include,data-th-include} found in template edit-client, line 5, col 13. Please use {th:insert,data-th-insert} instead, this deprecated attribute will be removed in future versions of Thymeleaf.
2024-10-11 05:53:06 [http-nio-0.0.0.0-8080-exec-3] WARN  o.t.s.p.AbstractStandardFragmentInsertionTagProcessor - [THYMELEAF][http-nio-0.0.0.0-8080-exec-3][edit-client] Deprecated unwrapped fragment expression "header :: header" found in template edit-client, line 5, col 13. Please use the complete syntax of fragment expressions instead ("~{header :: header}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2024-10-11 05:53:08 [http-nio-0.0.0.0-8080-exec-5] WARN  o.t.s.p.StandardIncludeTagProcessor - [THYMELEAF][http-nio-0.0.0.0-8080-exec-5][view-client] Deprecated attribute {th:include,data-th-include} found in template view-client, line 5, col 15. Please use {th:insert,data-th-insert} instead, this deprecated attribute will be removed in future versions of Thymeleaf.
2024-10-11 05:53:08 [http-nio-0.0.0.0-8080-exec-5] WARN  o.t.s.p.AbstractStandardFragmentInsertionTagProcessor - [THYMELEAF][http-nio-0.0.0.0-8080-exec-5][view-client] Deprecated unwrapped fragment expression "header :: header" found in template view-client, line 5, col 15. Please use the complete syntax of fragment expressions instead ("~{header :: header}"). The old, unwrapped syntax for fragment expressions will be removed in future versions of Thymeleaf.
2024-10-11 05:53:18 [SpringApplicationShutdownHook] INFO  o.s.o.j.LocalContainerEntityManagerFactoryBean - Closing JPA EntityManagerFactory for persistence unit 'default'
2024-10-11 05:53:18 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown initiated...
2024-10-11 05:53:18 [SpringApplicationShutdownHook] INFO  com.zaxxer.hikari.HikariDataSource - HikariPool-1 - Shutdown completed.
